epoch,dice_loss,dice_metric,tpr_metric,val_dice_loss,val_dice_metric,val_tpr_metric,lr
1,0.4360187737121864,0.6649560083316851,0.7602664232254028,0.6706930080598051,0.6948377435857599,0.5445343852043152,0.001
2,0.3123825769635695,0.735992753556006,0.8507189154624939,0.4948083839633248,0.713810617273504,0.676060140132904,0.001
3,0.29285857119137726,0.7380783789268526,0.8594713807106018,0.5434385334903543,0.6825849359685724,0.6001953482627869,0.001
4,0.27867616555861785,0.7563526137468684,0.8647423982620239,0.5204999738118865,0.7002739906311035,0.6239898800849915,0.001
5,0.25721882572908444,0.7718869623755604,0.8704996705055237,0.4973081648349762,0.7105420286005194,0.6378653049468994,0.001
6,0.25639059907021905,0.766577676378725,0.8719959259033203,0.4733364094387401,0.7138207609003241,0.6652702689170837,0.001
7,0.24110848547788613,0.7845650202111353,0.877042829990387,0.42905340546911414,0.7436465350064364,0.6961252093315125,0.001
8,0.24556728556186339,0.7697379840577202,0.8762913346290588,0.46130327812649985,0.6991208249872382,0.6621891260147095,0.001
9,0.23541303111028067,0.7806742865325026,0.8791938424110413,0.7126691693609412,0.7187612706964667,0.5748846530914307,0.001
10,0.29359859485917955,0.7342606556566456,0.8545958399772644,0.5165031918070533,0.6857471899552778,0.5967617034912109,0.001
11,0.25015237474743324,0.7614206563571334,0.8717843294143677,0.4535396905107932,0.7052428505637429,0.6661879420280457,0.001
12,0.23475940959363045,0.7729391749901108,0.877905011177063,0.4255996840921315,0.7141527696089311,0.7115293741226196,0.001
13,0.2276867224445826,0.7795658674924183,0.8809652924537659,0.4100301313129338,0.7191570455377753,0.7138748168945312,0.001
14,0.21911991585659074,0.785641827160799,0.8840085864067078,0.4183643033558672,0.7190133875066583,0.7015566825866699,0.001
15,0.21462197299999528,0.7892599628947455,0.8861563801765442,0.4037070342085578,0.7225128954107111,0.7113791108131409,0.001
16,0.20910017311824525,0.7936421969771889,0.8886289000511169,0.40556844256140967,0.7226293737238104,0.7112922668457031,0.001
17,0.20664646102406303,0.795264199816225,0.8904932141304016,0.4031892777843909,0.7264665256847035,0.7125617861747742,0.001
18,0.2019657708924531,0.7997505413329048,0.8928547501564026,0.39858097447590396,0.7281617251309481,0.7194196581840515,0.001
19,0.20043015209682882,0.7999255345340519,0.8942173719406128,0.398994080722332,0.7308932217684659,0.7215666174888611,0.001
20,0.19585368005786766,0.8019160017182555,0.8965444564819336,0.40434001318433066,0.7290856621482156,0.7149617671966553,0.001
21,0.19280391849797487,0.8046409510358979,0.898329496383667,0.39878793534907425,0.7313345128839667,0.7231993675231934,0.001
22,0.18975446627864354,0.8065414750626319,0.9000797867774963,0.39436806399713864,0.7316973426125266,0.7329096794128418,0.001
23,0.18694409558290168,0.8084894494165348,0.9017318487167358,0.3950097134167498,0.7327038158069957,0.7367005348205566,0.001
